common_name,sci_name,method,chem,cen_hardness,hardness,cen_value,value,cen_normalized_value,normalzed_value,2001_smav,2016_smav,reference,other_info,hardness_meta,value_meta,normalized_value_meta
Bluegill,Lepomis macrochirus,"F, M",Cadmiumchloride,,207,,"21,100",,"10,349",,,Eaton 1980,,,,
Bluegill,Lepomis macrochirus,"S, M",Cadmiumchloride,,18,,"2,300",,"12,322",,,Bishop and McIntosh 1981,,,,
Bluegill,Lepomis macrochirus,"S, M",Cadmiumchloride,,18,,"2,300",,"12,322",,,Bishop and McIntosh 1981,,,,
Mozambique tilapia,Oreochromis mossambica,"R, U",Cadmiumchloride,,28.4,,"6,000",,"20,570",,,Gaikwad 1989,,,,
Shorthead sculpin,Cottus confusus,"R, M",Cadmiumchloride,,21,,"0.9560",,4.404,,4.404,Mebane et al. 2012,,,(0.93 reported dissolved),
African clawed frog,Xenopus laevis,"R, U",Cadmiumchloride,,116,,"3,597",,"3,110",,,Sunderman et al. 1991,,,,
Hydra,"Hydra circumcincta","S, M","Cadmiumreferencestandard",,27,,69.69,,251.1,,,Clifford 2009,"(formerly, Hydra attenuata)",,,
Hydra ,Hydra oligactis,"S, M",,,210,,320,,154.8,,154.8,Karntanut and Pascoe 2002,(Monecious species),,,
Green hydra ,Hydra viridissima,"S, U",Cadmiumchloride,,19.5,,3,,14.86,,,Holdway et al. 2001,(non-budding),(19-20),,
Green hydra,Hydra viridissima,"S, M",,,210,,210,,101.6,,38.85,Karntanut and Pascoe 2002,(Monecious species),,,
Hydra,Hydra vulgaris,"S, M",Cadmiumchloride,,204,,310,,154.2,,,Karntanut and Pascoe 2000,"(male clone, Zurich strain)",,,
Hydra ,Hydra vulgaris,"S, U",Cadmiumchloride,,19.5,,82.5,,408.7,,,Holdway et al. 2001,(non-budding),(19-20),,
Hydra,Hydra vulgaris,"S, M",,,210,,520,,251.5,,,Karntanut and Pascoe 2002,"(male clone, Zurich strain)",,,
Hydra ,Hydra vulgaris,"S, M",,,210,,160,,77.38,,187.1,Karntanut and Pascoe 2002,(Dioecious strain),,,
Planarian ,Dugesia dorotocephala,"S, U",Cadmiumsulfate,,170,,690,,410.4,,410.4,Garcia-Medina et al. 2013,(10-15 mm),(160-180),,
Worm ,Lumbriculus variegatus,"S, M",Cadmiumnitrate,,290,,780,,275,264.2,275,Schubauer-Berigan et al.1993,(adult),,,
Worm ,Nais elinguis,"R, M",Cadmiumchloride,,17.89,,27,,145.5,,145.5,Shuhaimi-Othman et al.2012b,"(adult, 1.0 cm)",,,
Oligochaete ,Branchiura sowerbyi,"S, U",Cadmiumchloride,,185,,"58,020",,"31,767","4,754","11,627",Ghosal and Kaviraj 2002,"(2.0 cm, 2.05mg)",,,
Oligochaete ,Limnodrilus hoffmeisteri,"F, M",Cadmium,,152,,"2,400",,"1,593","1,568","1,593",Williams et al. 1985,(30-44 mm),,,
Tubificid worm ,Tubifex tubifex,"S, M",Cadmiumchloride,,,,400,,NA ,"2,753","4,193",Maestre et al. 2009,(4-5 wk),,,
Earthworm,"Varichaetadrilus pacificus","S, M",Cadmiumsulfate,,5.3,,380,,"6,738","7,527","6,738",Chapman et al. 1982,"(formerly, Varichaetapacifica)",,,
Leech ,Nephelopsis obscura,"S, M",Cadmiumchloride,,,,832.6,,,,NA (e),Wicklum et al. 1997,(cocoon),,,
Pond snail,Lymnaea stagnalis,"S, M",Cadmiumchloride,,250,,752,,306.6,,,Coeurdassier et al. 2004,"(juvenile, stage I, 4 wk)",,,
Pond snail,Lymnaea stagnalis,"S, M",Cadmiumchloride,,250,,"1,515",,617.7,,,Coeurdassier et al. 2004,"(juvenile, stage II, 9 wk)",,,
Pond snail ,Lymnaea stagnalis,"S, M",Cadmiumchloride,,250,,"1,585",,646.3,,,Coeurdassier et al. 2004,"(adult, 20 wk)",,,
Pond snail ,Lymnaea stagnalis,"R, M",Cadmiumchloride,,135,,"367.5",,273.9,,427.9,Pais 2012,"(juvenile, 25 mm)",(130-140),(347 reported-dissolved),
Snail ,Physa acuta,"R, U",Cadmiumchloride,,44,,963.6,,"2,152",,"2,152",Woodard 2005,"(adult, 3.3-15 mm)",,,
Pouch snail ,Physa gyrina,"S, M",,,200,,"1,370",,695,,,Wier and Walter 1976,(adult),,,
Pouch snail ,Physa gyrina,"S, M",,,200,,410,,208,202.6,208,Wier and Walter 1976,(juvenile),,,
Mussel ,Actinonaias pectorosa,"S, M",,,82,,46.4,,56.34,,,"Keller, Unpublished",(juvenile),,,
Neosho mucket,Lampsilis rafinesqueana,"R, M",Cadmiumnitrate,,44,,20,,44.67,,44.67,Wang et al. 2010d,"(juvenile, 5 d)",(40-48),,
Fatmucket ,Lampsilis siliquoidea,"S, M",Cadmiumnitrate,,44,>,227,>,507,,,Wang et al. 2010d,(glochidia),(40-48),,
Fatmucket ,Lampsilis siliquoidea,"R, M",Cadmiumnitrate,,44,,16,,35.73,,,Wang et al. 2010d,"(juvenile, 5 d)",(40-48),,
Fatmucket ,Lampsilis siliquoidea,"R, M",Cadmiumnitrate,,44,>,62,>,138.5,,,Wang et al. 2010d,"(juvenile, 2 mo.)",(40-48),,
Fatmucket ,Lampsilis siliquoidea,"R, M",Cadmiumnitrate,,44,,199,,444.4,,35.73,Wang et al. 2010d,"(juvenile, 6 mo.)",(40-48),,
Yellow sandshell ,Lampsilis teres,"S, M",,,40,,33,,80.91,48.35,46.71,"Keller, Unpublished",(juvenile),,,
Mussel ,Lasmigona subviridis,"R, M",Cadmiumchloride,,84,,57.77,,68.51,,68.51,Black 2001,(juvenile),,,
Mussel ,Utterbackia imbecillis,"S, M",Cadmiumchloride,,86,,93,,107.8,,,"Keller, Unpublished",(juvenile),,,
Mussel ,Utterbackia imbecillis,"S, M",Cadmiumchloride,,92,,81.9,,88.85,,,"Keller, Unpublished",(juvenile),,,
Mussel ,Utterbackia imbecillis,"S, M",Cadmiumchloride,,90,,107,,118.6,,,Keller and Zam 1991,"(juvenile, 12 d)",,,
Mussel ,Utterbackia imbecillis,"R, M",Cadmiumchloride,,84,,20.42,,24.22,86.82,71.76,Black 2001,(juvenile),,,
Southern rainbow mussel,Villosa vibex,"S, M",,,40,,30,,73.55,,,"Keller, Unpublished",(juvenile),,,
Southern rainbow mussel,Villosa vibex,"S, M",,,186,,125,,68.08,71.16,70.76,"Keller, Unpublished",(juvenile),,,
Cladoceran ,Ceriodaphnia dubia,"S, U",Cadmiumchloride,,90,,54,,59.86,,,Bitton et al. 1996,"(neonate, <24 hr)",,,
Cladoceran ,Ceriodaphnia dubia,"R, M",Cadmiumchloride,,80,,54.5,,67.79,,,Diamond et al. 1997,"(neonate, <24 hr)",,,
Cladoceran ,Ceriodaphnia dubia,"S, U",Cadmiumchloride,,90,,55.9,,61.96,,,Lee et al. 1997,"(neonate, <24 hr)",,,
Cladoceran ,Ceriodaphnia dubia,"S, M",Cadmiumchloride,,80,,64.26,,79.93,,,Black 2001,(3rd-4th instar),,,
Cladoceran ,Ceriodaphnia dubia,"S, U",Cadmiumchloride,,90,,40.1,,44.45,,,Jun et al. 2006,(neonate),,,
Cladoceran ,Ceriodaphnia dubia,"S, M",Cadmiumchloride,,40,,31.47,,77.16,63.46,64.03,Shaw et al. 2006,(<24 hr),,,
Cladoceran,Ceriodaphnia reticulata,"S, U",Cadmiumchloride,,240,,184,,78.08,,,Elnabarawy et al. 1986,"(1st instar larva, <24 hr)",,,
Cladoceran ,Ceriodaphnia reticulata,"S, U",Cadmiumchloride,,120,,110,,92,83.08,84.76,Hall et al. 1986,(<6hr),,,
Cladoceran ,Daphnia ambigua,"S, M",Cadmiumchloride,,40,,10.12,,24.81,,24.81,Shaw et al. 2006,(<24 hr),,,
Cladoceran ,Daphnia magna,"S, U",Cadmiumnitrate,,,,27.07,,NA ,,,Canton and Adema 1978,(<24 hr),,,
Cladoceran ,Daphnia magna,"S, U",Cadmiumnitrate,,,,28.36,,NA ,,,Canton and Adema 1978,(<24 hr),,,
Cladoceran ,Daphnia magna,"S, U",Cadmiumnitrate,,,,35.45,,NA ,,,Canton and Adema 1978,(<24 hr),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,51,,9.9,,19.13,,,"Chapman et al.Manuscript, 1980",(<24 hr),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,104,,33,,31.75,,,"Chapman et al.Manuscript, 1980",(<24 hr),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,105,,34,,32.41,,,"Chapman et al.Manuscript, 1980",(<24 hr),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,197,,63,,32.44,,,"Chapman et al.Manuscript, 1980",(<24 hr),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,209,,49,,23.81,,,"Chapman et al.Manuscript, 1980",(<24 hr),,,
Cladoceran ,Daphnia magna,"R, M",Cadmiumchloride,,105,,30,,28.6,,,Canton and Slooff 1982,(<24 hr),,,
Cladoceran ,Daphnia magna,"R, M",Cadmiumchloride,,209.2,,30,,14.56,,,Canton and Slooff 1982,(<24 hr),,,
Cladoceran,Daphnia magna,"S, U",Cadmiumchloride,,240,,178,,75.54,,,Elnabarawy et al. 1986,"(1st instar larva, <24 hr)",,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,76,,59,,77.17,,,Nebeker et al. 1986a,(<4 hr),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,41,,99,,236.9,,,Nebeker et al. 1986a,(<4 hr),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,38,,164,,422.8,,,Nebeker et al. 1986a,(<4 hr),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,76,,71,,92.87,,,Nebeker et al. 1986a,(<4 hr),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,74,,178,,239,,,Nebeker et al. 1986a,(<4 hr),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,74,,116,,155.7,,,Nebeker et al. 1986a,(<4 hr),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,71,,101,,141.2,,,Nebeker et al. 1986a,(<4 hr),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,71,,4,,5.592,,,Nebeker et al. 1986a,(1 d),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,41,,8,,19.15,,,Nebeker et al. 1986a,(1 d),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,38,,16,,41.25,,,Nebeker et al. 1986a,(1 d),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,74,,146,,196,,,Nebeker et al. 1986a,(1 d),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,170,,3.6,,2.141,,,Baird et al. 1991,(genotype A),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,170,,9,,5.353,,,Baird et al. 1991,(genotype A-1),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,170,,9,,5.353,,,Baird et al. 1991,(genotype A-2),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,170,,4.5,,2.676,,,Baird et al. 1991,(genotype B),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,170,,27.1,,16.12,,,Baird et al. 1991,(genotype E),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,170,,115.9,,68.93,,,Baird et al. 1991,(genotype S-1),,,
Cladoceran,Daphnia magna,"S, M",Cadmiumchloride,,170,,129.4,,76.96,,,"Stuhlbacher et al. 1992,1993","(<24 hr, clone S-1)",,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumchloride,,170,,24.5,,14.57,,,"Stuhlbacher et al. 1992,1993","(<24 hr, clone F)",,,
Cladoceran,Daphnia magna,"S, M",Cadmiumchloride,,170,,228.8,,136.1,,,Stuhlbacher et al. 1993,"(neonate, 3 d, clone S-1)",,,
Cladoceran,Daphnia magna,"S, M",Cadmiumchloride,,170,,25.4,,15.11,,,Stuhlbacher et al. 1993,"(neonate, 3 d, clone F)",,,
Cladoceran,Daphnia magna,"S, M",Cadmiumchloride,,170,,49.1,,29.2,,,Stuhlbacher et al. 1993,"(neonate, 6 d, clone F)",,,
Cladoceran,Daphnia magna,"S, M",Cadmiumchloride,,170,,250.1,,148.7,,,Stuhlbacher et al. 1993,"(neonate, 6 d, clone S-1)",,,
Cladoceran,Daphnia magna,"S, M",Cadmiumchloride,,170,,131.2,,78.03,,,Stuhlbacher et al. 1993,"(neonate, 10 d, clone F)",,,
Cladoceran,Daphnia magna,"S, M",Cadmiumchloride,,170,,319.3,,189.9,,,Stuhlbacher et al. 1993,"(neonate, 10 d, clone S-1)",,,
Cladoceran,Daphnia magna,"S, M",Cadmiumchloride,,170,,326.3,,194.1,,,Stuhlbacher et al. 1993,"(neonate, 20 d, clone S-1)",,,
Cladoceran,Daphnia magna,"S, M",Cadmiumchloride,,170,,139.9,,83.21,,,Stuhlbacher et al. 1993,"(neonate, 20 d, clone F)",,,
Cladoceran,Daphnia magna,"S, M",Cadmiumchloride,,170,,146.7,,87.25,,,Stuhlbacher et al. 1993,"(neonate, 30 d, clone F)",,,
Cladoceran,Daphnia magna,"S, M",Cadmiumchloride,,170,,355.3,,211.3,,,Stuhlbacher et al. 1993,"(neonate, 30 d, clone S-1)",,,
Cladoceran ,Daphnia magna,"S, U",Cadmiumchloride,,170,,9.5,,5.65,,,Guilhermino et al. 1996,(<24 hr),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumsulfate,,46.1,,112,,239,,,Barata et al. 1998,(clone S-1),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumsulfate,,90.7,,106,,116.6,,,Barata et al. 1998,(clone S-1),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumsulfate,,179,,233,,131.8,,,Barata et al. 1998,(clone S-1),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumsulfate,,46.1,,30.1,,64.22,,,Barata et al. 1998,(clone A),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumsulfate,,90.7,,23.4,,25.74,,,Barata et al. 1998,(clone A),,,
Cladoceran ,Daphnia magna,"S, M",Cadmiumsulfate,,179,,23.6,,13.35,,,Barata et al. 1998,(clone A),,,
Cladoceran ,Daphnia magna,"S, U",Cadmiumchloride,,18,,66,,353.6,,,Baer et al. 1999,"(neonate, <24 hr)",,,
Cladoceran ,Daphnia magna,"S, U",Cadmiumchloride,,18,,69,,369.6,,,Baer et al. 1999,"(neonate, <24 hr)",,,
Cladoceran ,Daphnia magna,"S, M",,,170,,3.3,,1.963,,,Barata and Baird 2000,(<24 hr),,,
Cladoceran,Daphnia magna,"S, M",Cadmiumchloride,,170,,26,,15.46,,,Ward and Robinson 2005,(≤ 24 hr; Source 1),,,
Cladoceran,Daphnia magna,"S, M",Cadmiumchloride,,170,,34,,20.22,,,Ward and Robinson 2005,(≤ 24 hr; Source 2),,,
Cladoceran,Daphnia magna,"S, M",Cadmiumchloride,,170,,39,,23.2,,,Ward and Robinson 2005,(≤ 24 hr; Source 3),,,
Cladoceran,Daphnia magna,"S, M",Cadmiumchloride,,170,,55,,32.71,,,Ward and Robinson 2005,(≤ 24 hr; Source 5),,,
